排行,證券名稱,,市值佔 大盤比重,排行,證券名稱,,市值佔 大盤比重
226,3515,華擎,0.0488%,680,4989,榮科,0.0076%
227,2820,華票,0.0488%,681,3518,柏騰,0.0075%
228,1232,大統益,0.048%,682,3052,夆典,0.0075%
229,6443,元晶,0.048%,683,1806,冠軍,0.0075%
230,5388,中磊,0.0477%,684,1459,聯發,0.0074%
231,2905,三商,0.0472%,685,1526,日馳,0.0074%
232,2511,太子,0.0472%,686,3149,正達,0.0074%
233,2608,嘉里大榮,0.0469%,687,2722,夏都,0.0074%
234,1215,卜蜂,0.0463%,688,2906,高林,0.0074%
235,6257,矽格,0.0463%,689,6168,宏齊,0.0074%
236,3673,TPK-KY,0.0461%,690,6165,捷泰,0.0073%
237,2520,冠德,0.0459%,691,2413,環科,0.0073%
238,1773,勝一,0.0456%,692,2461,光群雷,0.0073%
239,2103,台橡,0.0454%,693,1323,永裕,0.0073%
240,4766,南寶,0.0454%,694,2022,聚亨,0.0073%
241,2428,興勤,0.0453%,695,1615,大山,0.0072%
242,3016,嘉晶,0.0451%,696,2425,承啟,0.0072%
243,8070,長華*,0.0451%,697,2929,淘帝-KY,0.0072%
244,9907,統一實,0.0446%,698,3004,豐達科,0.0072%
245,3026,禾伸堂,0.0446%,699,3038,全台,0.0072%
246,2505,國揚,0.0444%,700,1530,亞崴,0.0071%
247,2897,王道銀行,0.0437%,701,6754,匯僑設計,0.0071%
248,2707,晶華,0.0435%,702,4572,駐龍,0.0071%
249,9908,大台北,0.0435%,703,4560,強信-KY,0.0071%
250,6491,晶碩,0.0433%,704,1341,富林-KY,0.007%
251,3010,華立,0.0433%,705,2739,寒舍,0.0069%
252,8422,可寧衛,0.043%,706,4722,國精化,0.0069%
253,5531,鄉林,0.0429%,707,6235,華孚,0.0068%
254,9939,宏全,0.042%,708,3047,訊舟,0.0068%
255,2539,櫻花建,0.0419%,709,2613,中櫃,0.0068%
256,2014,中鴻,0.0419%,710,1713,國化,0.0068%
257,4919,新唐,0.0414%,711,2365,昆盈,0.0068%
258,2607,榮運,0.0412%,712,2008,高興昌,0.0067%
259,3413,京鼎,0.041%,713,3528,安馳,0.0067%
260,6582,申豐,0.0407%,714,4155,訊映,0.0066%
261,8016,矽創,0.0407%,715,1725,元禎,0.0066%
262,2455,全新,0.0407%,716,1435,中福,0.0066%
263,2637,慧洋-KY,0.0405%,717,2460,建通,0.0066%
