,Portfolio,TWII
2012-09-03,1213.4479510295312,846.8637975992563
2012-09-04,1204.9402788452596,837.5458733131167
2012-09-05,1197.9934255329167,832.9725923475795
2012-09-06,1211.886110782337,844.0617111780798
2012-09-07,1220.734009704604,850.5064036463083
2012-09-10,1213.2234992668643,850.7706524035344
2012-09-11,1233.7353991175212,860.2023036816073
2012-09-12,1224.9349940241138,861.1149113176809
2012-09-13,1236.068981113122,878.5016709770488
2012-09-14,1229.32660855023,881.0862636606653
2012-09-17,1232.8661620463872,878.105704193801
2012-09-18,1243.453618373646,883.2035573653139
2012-09-19,1231.1969547094093,877.4234534501661
2012-09-20,1225.4051674637853,880.3188304166363
2012-09-21,1240.6741867420326,881.7817383429875
2012-09-24,1228.8317062716553,878.1421051880828
2012-09-25,1196.4041740863324,871.2414891143417
2012-09-26,1200.7085028429804,872.7702257549555
2012-09-27,1203.2351154067412,876.1473302901485
2012-09-28,1190.0841174497393,871.9174221978672
2012-10-01,1213.0256187686648,876.5485244064856
2012-10-02,1216.6327432511853,872.8983180098935
2012-10-03,1234.495658312909,872.651737039445
2012-10-04,1238.6022692109668,873.5467930094773
2012-10-05,1229.5625329773077,865.5033032986443
2012-10-08,1243.1328756892124,862.9087652864991
2012-10-09,1240.5138098993486,847.618846255881
2012-10-11,1222.889129935379,845.9887459390009
2012-10-12,1215.554621312484,843.9704722629724
2012-10-15,1221.0474402989553,849.7835414973501
2012-10-16,1192.2786132990932,849.0503365457806
2012-10-17,1202.9560539899921,849.1623255165752
2012-10-18,1193.1961518005933,842.8833491427698
2012-10-19,1185.3305800775943,838.8939982380757
2012-10-22,1182.159454482181,834.903239169646
2012-10-23,1187.548107674063,832.3546312518957
2012-10-24,1194.0793464846315,826.3820129094757
2012-10-25,1195.1694625398438,811.795442208668
2012-10-26,1187.427359073677,806.8788670485087
2012-10-29,1198.0244148203833,817.4871595186104
2012-10-30,1190.4499156754657,815.5817765001453
2012-10-31,1198.5810480817233,817.1509619156091
2012-11-01,1198.5660171917189,820.7040959999881
2012-11-02,1189.6174322729262,817.8225281690238
2012-11-05,1208.9519754239438,823.7324320211437
2012-11-06,1248.0076550477124,829.5065736842743
2012-11-07,1265.9669067254597,824.4480248179266
2012-11-08,1248.8016002942431,830.2277432249999
2012-11-09,1229.6593384106916,827.3380420614964
2012-11-12,1227.1819582430203,812.3438566694812
2012-11-13,1243.492293060675,815.0919639406084
2012-11-14,1252.747049844909,813.2532413584546
2012-11-15,1244.3188704965667,811.6583082499241
2012-11-16,1266.4895244419974,811.5388014892796
2012-11-19,1256.7077922021886,813.4805993143896
2012-11-20,1260.3194089142296,806.8479311494486
2012-11-21,1254.8388666364315,808.8638192156484
2012-11-22,1285.880138795297,834.5111464979495
2012-11-23,1310.5444919448348,843.7005001873346
2012-11-26,1307.9376995743723,846.2507514924686
2012-11-27,1298.9759888805236,846.777494104639
2012-11-28,1315.0444277221031,854.4142883679882
2012-11-29,1343.168288428192,862.8633817897935
2012-11-30,1328.6145525390568,865.0182117653868
2012-12-03,1334.4075777167495,865.1346896856236
2012-12-04,1359.9992559290736,870.3675914937878
2012-12-05,1406.1650488551995,867.5777203743186
2012-12-06,1403.04769434786,869.6400235836272
2012-12-07,1424.698432998159,866.0930445463009
2012-12-10,1412.9784748668844,866.5486526779331
2012-12-11,1403.4931294565536,874.8625735341508
2012-12-12,1392.3665710805667,882.0608419718108
2012-12-13,1340.4227779842938,875.8398879449139
2012-12-14,1310.8203654552601,868.5861943038141
2012-12-17,1330.1368530224486,869.937258412359
2012-12-18,1351.332190149422,873.5885776157072
2012-12-19,1346.2396290044762,864.7498522448249
2012-12-20,1321.138387745062,856.5217249015402
2012-12-21,1314.0273323278732,858.2371335060652
2012-12-24,1337.2676413682148,869.3329630990933
2012-12-25,1333.7478722902135,869.0750954398171
2012-12-26,1339.50503352778,870.6163800069711
2012-12-27,1353.479302352183,876.1435527120043
2012-12-28,1386.5954241346615,884.7108839105572
2013-01-02,1372.5466308617495,890.8396114327069
2013-01-03,1356.6555866969868,887.5824338165692
2013-01-04,1321.500158991267,882.1869212465912
2013-01-07,1319.6942471353648,878.6200692352232
2013-01-08,1319.3852632361052,880.439628130055
2013-01-09,1313.005102178289,888.2450758566422
2013-01-10,1320.9057441112766,889.0405457565197
2013-01-11,1302.392896108331,889.5505939982555
2013-01-14,1301.0046463251297,883.31620232678
2013-01-15,1306.7405161605043,876.4334639819267
2013-01-16,1294.0971130564021,867.4298467298132
2013-01-17,1309.4341224345692,880.0566776396073
2013-01-18,1323.8881028082624,879.2059771269211
2013-01-21,1326.1894047044914,882.8671473337339
2013-01-22,1325.4612265127337,881.2760571323944
2013-01-23,1336.0164736020367,876.1270847859943
2013-01-24,1324.2174909617806,873.6101067580562
2013-01-25,1317.2839149713448,878.14926693794
2013-01-28,1373.579202981978,887.5159562573673
2013-01-29,1357.4054356030774,890.8015052413845
2013-01-30,1342.905731798089,892.601549518853
2013-01-31,1363.6597943603447,893.2286894181977
2013-02-01,1371.3471224249495,900.3055545467902
2013-02-04,1376.819378390437,896.5229386712049
2013-02-05,1365.693079220999,898.5907784764108
2013-02-06,1367.6552174270587,902.4503285545335
2013-02-18,1392.5725250786031,904.2576193828554
2013-02-19,1388.8213649243717,911.3483102025824
2013-02-20,1371.1518666654624,903.9654230236952
2013-02-21,1368.7738172207944,902.9526483796842
2013-02-22,1369.9682534646852,902.9484798684293
2013-02-25,1372.442026466105,895.9958764244284
2013-02-26,1363.611952768287,897.7891795437731
2013-02-27,1378.802272410699,904.7718757500542
2013-03-01,1374.4670573087474,894.6644573418831
2013-03-04,1383.8701165225145,901.5396955089841
2013-03-05,1354.748207765552,903.3744588639511
2013-03-06,1352.149107779523,904.437084336495
2013-03-07,1353.8602321277326,910.1155242581093
2013-03-08,1355.1475751775884,912.5498224736302
2013-03-11,1336.5131933836735,908.019734700336
2013-03-12,1339.5255327368259,908.1025138379708
2013-03-13,1333.0973780974964,903.5749277439921
2013-03-14,1368.1342507612203,901.0494834982218
2013-03-15,1341.6822263144343,888.9262314477736
2013-03-18,1330.4452491588013,891.8000674485738
2013-03-19,1323.8144037203658,887.5311395207779
2013-03-20,1323.490064423384,888.9965194207645
2013-03-21,1322.9213694846214,887.3420567355165
2013-03-22,1328.7102305076726,893.6993835067731
2013-03-25,1352.1459948723586,893.7246347674667
2013-03-26,1358.036746967992,897.7015612478275
2013-03-27,1362.7218658209492,894.8463451436066
2013-03-28,1370.4502086037585,900.2873026553176
2013-03-29,1367.714978476545,898.2632956636096
2013-04-01,1364.9989190173164,899.7235055516131
2013-04-02,1368.8945473883778,902.7736743021588
2013-04-03,1355.5436721427789,883.025174906897
2013-04-08,1352.149079198134,880.4370017514487
2013-04-09,1344.8136072514496,883.0343414453469
2013-04-10,1366.5876146068028,894.2599759620672
2013-04-11,1354.011964660715,890.4323589998953
2013-04-12,1366.2606379254578,884.2860332750002
2013-04-15,1364.612279903961,888.2849599235404
2013-04-16,1358.8175108324153,889.1356316007293
2013-04-17,1337.7011996794502,887.2580565477587
2013-04-18,1344.4514792120738,902.0675404753971
2013-04-19,1345.897430888606,906.1970579848663
2013-04-22,1335.844376580365,903.3307366337629
2013-04-23,1332.2718769138085,911.7626847849996
2013-04-24,1319.8438736279284,911.5605635917134
2013-04-25,1357.5063947651174,911.5925462317177
2013-04-26,1411.879832721785,912.3847281232217
2013-04-29,1431.8487812514936,918.9715269216769
2013-04-30,1439.7449541709957,922.534336362645
2013-05-02,1443.534029345946,923.1980452034987
2013-05-03,1461.0508490793504,926.6583555211564
2013-05-06,1453.8601093169807,926.0516520233967
2013-05-07,1473.8692501654768,936.5964490675449
2013-05-08,1478.282260356189,938.4781056633321
2013-05-09,1477.4130727617621,937.9158939452766
2013-05-10,1463.511009036859,934.7241856031761
2013-05-13,1483.861363336347,935.0752948098424
2013-05-14,1565.1904998313887,941.7705672721748
2013-05-15,1607.474767274714,948.8786543525562
2013-05-16,1596.4786613542178,946.7228325290329
2013-05-17,1586.441686392875,947.5988468318847
2013-05-20,1611.602666021851,948.1914989185592
2013-05-21,1594.5580662798297,949.7500492139803
2013-05-22,1567.0018906748019,933.8875147526277
2013-05-23,1583.7646314256779,931.070061588665
2013-05-24,1596.4818476299909,938.157396013799
2013-05-27,1633.155212690968,936.4535767212998
2013-05-28,1631.9680800668646,943.9489716745145
2013-05-29,1597.2173029308958,934.5599222201688
2013-05-30,1595.819110391738,935.7152509986947
